analytical_method,analytical_method_grouping
NA,standard
"Field measurement/observation, generic method",standard
eventSecchi,standard
FDEP FT1700,standard
20 CM SECCHI DEPTH,standard
Field Measurement of Light Penetration (Secchi Depth and Transparency),standard
"Tyler, John. 1968. The secchi disk, Limnology and Oceanograpy, 13(1):1-6.",standard
Other or Unknown Procedure,standard
Field Measurement of Light Penetration (SECCHI Depth and Transparency),standard
Field Measurements performed by Utah DWQ,standard
Secchi disk method,standard
"Seechi depth, field",standard
EPA/620/R-01/003 Secchi Depth,standard
FIELD MEASUREMENT OF LIGHT PENETRATION (SECCHI DEPTH AND TRANSPERENCY),standard
Secchi,standard
"Depth, Secchi disk depth",standard
Secchi Disk Depth,standard
MEASURED IN FIELD,standard
UNKOWN,standard
OWRB Lakes Field Data Collection,standard
Unknown or Unspecified Procedure,standard
SFWMD FSQM,standard
WSSSOP,standard
SECCHI DEPTH,standard
Secchi disk,standard
QA Plan #900456,standard
Field measurement of Light Penetration (Secchi Depth and Transparency),standard
General Listing of Field and Lab Analytical Procedures for Manatee County,standard
Measurements/readings obtained in the field,standard
General Field Test,standard
Determination of Secchi Disk Transparency,standard
Field Measurements and Observations,standard
Unknown,standard
Secchi Depth,standard
Light Penetration,standard
FIELD MEASUREMENT OF LIGHT PENETRATION (SECCHI DEPTH AND TRANSPARENCY),standard
Secchi Disk,standard
ISU Secchi Method,standard
Laboratory Procedures for Water Quality Chemical Analysis,unclear
Secchi Disk Depth Readings-Unspecified Details,standard
In Situ Profile,standard
SECCHI DISK TRANSPARENCY,standard
N/A Calculation,standard
FIELD,standard
Secchi in m,standard
Secchi transparency,standard
Secchi disk depth,standard
UNKNOWN,standard
SECCHI DISK TRANSPARENCY USING A SCOPE,standard
Secchi Disk-20 cm,standard
2012 National Lakes Assessment Field Operations Manual,standard
Sechi Disk Depth,standard
DEP STANDARD OPERATING PROCEDURES FOR FIELD ACTIVITIES,standard
Secchi Depth Protocol,standard
Lake Trafford,unclear
Northeast Temperate Network Secchi Depth Measurement with Viewscope,standard
Not Available,standard
Field/Lab SOP IRLWQMN,standard
Field Measurement,standard
Other of Unknown Procedure,standard
Field Office procedures,standard
FDEP General Field Procedures,standard
DEP Field Analytical Procedures,standard
SFWMD-FSQM,standard
"DEPTH, SECCHI DISK DEPTH",standard
No information exists for method,standard
Secchi Disk Depth by FDEP Standards,standard
Hawaii historic procedures for Legacy STORET,standard
SECCHI DISK TRANSPARENCY FOR UNH LLMP PROGRAM,standard
Visibility/Clarity of Water,standard
Zooplankton Collection and Secchi Depth Measurement,standard
LAKE COUNTY QUALITY SYSTEMS MANUAL,standard
Field Measurement Of Light Penetratino (Secchi Depth and Transparency),standard
Secchi disk depth measurement,standard
30 CM SECCHI DEPTH,standard
FDEP Field Sampling Protocols,standard
SOP Measuring Secchi Disk Depth,standard
F01,standard
Field Measurement of Light Penetration (Secchi depth and Transparency),standard
FDEP SOP Secchi Disk depth,standard
Section 5.1: Non-Wadeable Rivers-Water Quality of National Rivers and Streams Assessment: Field Operations Manual (2009),standard
Field Light Penetration,standard
SOP-1 VCEH Lab Surface Water SOP,standard
Temperature,unlikely
"Texas Commission on Environmental Quality, Secchi Depth",standard
Unknown Method or Procedure,standard
FIELD MEASUREMENT OF LIGHT PENETRATION ( SECCHI DEPTH AND TRANSPERENCY),standard
Standard Operation Procedure,standard
PIIC_QAPP,standard
Field methods for DEQ Water sampling,standard
FIELD PARAMETERS,standard
LEGACY,standard
F02,standard
Turbidity by Nephelometry,unlikely
SFWMD-FSM,standard
Zebra/Quagga Mussel APHA 10200G Modified,standard
LIM-USGS,standard
Secchi Disk-100 cm,standard
MOM-Siuslaw,unclear
CN_QAPP,standard
Division of Marine Fisheries Marine Field Instrument Data,standard
Estero Bay Aquatic Preserve tributary sampling,standard
Meteorological Data Aboard the R/V Lake Guardian,standard
2320 B ~ Alkalinity by Gran Titration,unlikely
U.S. Geological Survey National Field Manual 7.4.1B Collecting Ancillary Data,standard
Procedure is unknown,standard
Secchi depth in meters,standard
Secchi Depth Measurement,standard
CSU,unclear
Secchi Disk-30 cm,standard
FT_1700,standard
Turbidity of Water,standard
WATER QUALITY MANUAL FOR VOLUNTEERS IN THE ST. JOHNS RIVER WATER MANAGEMENT DISTRICT,standard
160.2 M ~ Total Suspended Solids,unlikely
No Field/Lab Analysis Performed,standard
"Florida DEP field methods, general",standard
Secchi Disk-40 cm,standard
"Secchi Transparency Tube, 100 cm",unlikely
10200 H ~ Chlorophyll a-b-c Determination,unlikely
10200 H 2  ~ Chlorophyll a-b-c Determination by spectrophotometer,unlikely
4500 NO3 F ~ Nitrate in Water- Automated Cadmium Reduction,unlikely
9221 E ~ Fecal Coliform Procedure- Multiple-Tube Procedure,unlikely
CALCULATION,unclear
Field measurement of Specific Conductance,unlikely
Historical Chemistry Data,unlikely
LABORATORY CALCULATION,unlikely
Unknown method - historic STORET DATA,standard